Date,Unfiltered Strategy,Filtered Strategy,Benchmark (Buy & Hold)
2024-01-01,,,
2024-01-02,0.997749931974488,1.0,0.9964998639489759
2024-01-03,0.9943317073693767,1.0,0.9896719800378248
2024-01-04,0.9938345415156921,1.0,0.9961686522450485
2024-01-05,0.9945352854200019,1.0,0.9985696002273834
2024-01-08,0.9900048247884747,1.0,0.9894719234973727
2024-01-09,0.9895098223760805,1.0,0.9909368188746293
2024-01-10,0.9895098223760805,1.0,0.9943334681117328
2024-01-11,0.9896673044392906,1.0,0.9956443010880577
2024-01-12,0.989172470787071,1.0,1.0070210233642143
2024-01-15,0.9932612521381133,1.0041335373474243,1.0163531624070135
2024-01-16,0.9917970691465492,1.00265332733875,1.0133567160831174
2024-01-17,0.9814355700231102,1.0021520006750806,0.9921832420891651
2024-01-18,0.9789401368521611,1.0021520006750806,0.9871377209167241
2024-01-19,0.978450666783735,1.0021520006750806,0.9945037003273398
2024-01-22,0.978450666783735,1.0021520006750806,0.9945037003273398
2024-01-23,0.978450666783735,1.0021520006750806,0.9768603663738642
2024-01-24,0.9829172799248769,1.0021520006750806,0.9867559336257853
2024-01-25,0.9805956028911385,1.0021520006750806,0.982094445551877
2024-01-26,0.9805956028911385,1.0021520006750806,0.982094445551877
2024-01-29,0.980105305089693,1.0021520006750806,0.9998021892671417
2024-01-30,0.980105305089693,1.0021520006750806,0.9898904522005455
2024-01-31,0.980105305089693,1.0021520006750806,0.999254841040391
2024-02-01,0.980105305089693,1.0021520006750806,0.9979555065989463
2024-02-02,0.980105305089693,1.0021520006750806,1.0051467621787675
2024-02-05,0.980105305089693,1.0021520006750806,1.0013705714583188
2024-02-06,0.980105305089693,1.0021520006750806,1.0086239011600315
2024-02-07,0.980105305089693,1.0021520006750806,1.0086744767470428
2024-02-08,0.980105305089693,1.0021520006750806,0.9988983864591097
2024-02-09,0.980105305089693,1.0021520006750806,1.001867344098058
2024-02-12,0.980105305089693,1.0021520006750806,0.9942116555078476
2024-02-13,0.980105305089693,1.0021520006750806,1.0000620741218915
2024-02-14,0.980105305089693,1.0021520006750806,1.0045143427603653
2024-02-15,0.980105305089693,1.0021520006750806,1.0077660924915197
2024-02-16,0.980105305089693,1.0021520006750806,1.013742994989244
2024-02-19,0.9814284515680844,1.0021520006750806,1.0174938530000353
2024-02-20,0.9830854244933329,1.0021520006750806,1.0209295792892703
2024-02-21,0.979943139391676,1.0021520006750806,1.0144030827572015
2024-02-22,0.9794531678219802,1.0021520006750806,1.0218724591494337
2024-02-23,0.9794531678219802,1.0021520006750806,1.021653986986713
2024-02-26,0.9769649020602519,1.0021520006750806,1.0174846901050527
2024-02-27,0.9764764196092218,1.0021520006750806,1.0209939890510593
2024-02-28,0.9705511959409745,1.0021520006750806,1.0096242736945953
2024-02-29,0.9700659203430041,1.0021520006750806,1.0110800061768694
2024-03-01,0.9700659203430041,1.0021520006750806,1.0274515842061516
2024-03-04,0.9710323680575107,1.0031504147934718,1.030526274466614
2024-03-05,0.9699640914067791,1.002648839586075,1.028258817287652
2024-03-06,0.9725184780398963,1.002648839586075,1.0336746272161517
2024-03-07,0.9729403893033879,1.002648839586075,1.034571512936795
