Date,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close,Nifty_Volume,VIX_Close,USDINR_Close
2018-01-02,10477.5498046875,10495.2001953125,10404.650390625,10442.2001953125,153400.0,13.6899995803833,63.86759948730469
2018-01-03,10482.650390625,10503.599609375,10429.5498046875,10443.2001953125,167300.0,13.619999885559082,63.459999084472656
2018-01-04,10469.400390625,10513.0,10441.4501953125,10504.7998046875,174900.0,13.420000076293945,63.41910171508789
2018-01-05,10534.25,10566.099609375,10520.099609375,10558.849609375,180900.0,13.109999656677246,63.369598388671875
2018-01-08,10591.7001953125,10631.2001953125,10588.5498046875,10623.599609375,169000.0,13.739999771118164,63.26499938964844
2018-01-09,10645.099609375,10659.150390625,10603.599609375,10637.0,205000.0,13.850000381469727,63.45199966430664
2018-01-10,10652.0498046875,10655.5,10592.7001953125,10632.2001953125,176400.0,14.039999961853027,63.63610076904297
2018-01-11,10637.0498046875,10664.599609375,10612.349609375,10651.2001953125,153800.0,14.010000228881836,63.7599983215332
2018-01-12,10682.5498046875,10690.400390625,10597.099609375,10681.25,175200.0,13.729999542236328,63.67210006713867
2018-01-15,10718.5,10782.650390625,10713.7998046875,10741.5498046875,175900.0,14.3100004196167,63.5885009765625
2018-01-16,10761.5,10762.349609375,10687.849609375,10700.4501953125,211000.0,14.09000015258789,63.52119827270508
2018-01-17,10702.4501953125,10803.0,10666.75,10788.5498046875,252700.0,13.859999656677246,63.994300842285156
2018-01-18,10873.400390625,10887.5,10782.400390625,10817.0,312000.0,13.960000038146973,63.82500076293945
2018-01-19,10829.2001953125,10906.849609375,10793.900390625,10894.7001953125,207600.0,13.979999542236328,63.86759948730469
2018-01-22,10883.2001953125,10975.099609375,10881.400390625,10966.2001953125,231600.0,15.390000343322754,63.83209991455078
2018-01-23,10997.400390625,11092.900390625,10994.5498046875,11083.7001953125,284600.0,16.229999542236328,63.88010025024414
2018-01-24,11069.349609375,11110.099609375,11046.150390625,11086.0,283400.0,18.040000915527344,63.7504997253418
2018-01-25,11095.599609375,11095.599609375,11009.2001953125,11069.650390625,330300.0,17.510000228881836,63.57789993286133
2018-01-26,11095.599609375,11095.599609375,11009.2001953125,11069.650390625,330300.0,17.510000228881836,63.57310104370117
2018-01-29,11079.349609375,11171.5498046875,11075.9501953125,11130.400390625,241700.0,17.889999389648438,63.56999969482422
2018-01-30,11120.849609375,11121.099609375,11033.900390625,11049.650390625,228000.0,16.420000076293945,63.66939926147461
2018-01-31,11018.7998046875,11058.5,10979.2998046875,11027.7001953125,245900.0,15.930000305175781,63.769901275634766
2018-02-01,11044.5498046875,11117.349609375,10878.7998046875,11016.900390625,306200.0,14.109999656677246,63.665000915527344
2018-02-02,10938.2001953125,10954.9501953125,10736.099609375,10760.599609375,282700.0,15.25,63.974998474121094
2018-02-05,10604.2998046875,10702.75,10586.7998046875,10666.5498046875,240100.0,16.049999237060547,64.13249969482422
2018-02-06,10295.150390625,10594.150390625,10276.2998046875,10498.25,266500.0,20.020000457763672,64.314697265625
