Date,RSI_14,RSI_7,RSI_overbought,RSI_oversold,MACD_line,MACD_signal,MACD_hist,MACD_cross,BB_pctB,BB_width,ATR_14,ATR_norm,OBV_EMA,OBV_sig,Vol_Ratio,STOCHk,STOCHd,EMA_cross_9_21,Dist_EMA_9,Dist_EMA_21,Dist_EMA_50,Dist_EMA_200,Above_EMA200,WilliamsR,CCI_20,Nifty_Return,Ret_Lag1,Ret_Lag2,Ret_Lag3,Ret_Lag4,Ret_Lag5,ROC_5,ROC_10,ROC_20,Vol_20d,Vol_ratio_regime,Green_candle,Body_ATR,Pct_from_52wH,Pct_from_52wL,VIX_level,VIX_Return,VIX_high_fear,USDINR_Return,Rupee_weak
2018-12-19,62.422867159028726,70.44056566562901,0,0,69.9007351888722,48.25518874035118,21.645546448521024,0,0.887480251289879,0.05462470760063282,124.9716796875,0.01139493602920154,2547996.8533071196,1,0.9579790662696829,97.25924082200345,94.40210178285433,0,0.013582516944417856,0.02077491361851649,0.023609294416726566,0.018776419511627333,1,-2.740759177843009,122.4138592147526,0.005371823253533137,0.0018690239262686426,0.007672000015183311,0.001288081033454791,0.005024418610784842,0.01786392380162427,0.0213921363869769,0.0171010959373068,0.034646063628644086,0.009003204724556756,0.875308669597613,1,0.29406662446725335,-0.06569835969778373,0.0969439059550872,14.579999923706056,0.0027510290204932897,0,-0.004450108579084455,0
2018-12-20,61.44892260365744,68.01480328412717,0,0,77.18353496332202,54.040857984945355,23.142676978376663,0,0.8285825839363213,0.05386816418518438,124.96449497767857,0.011410510947985402,2686761.061796734,1,0.9670669577874818,94.86409409040631,95.59074152431252,0,0.0096891314761614,0.017535550289769018,0.021266105011535388,0.01715196922969606,1,-5.1359059094401545,97.40148969195606,-0.001422374664029169,0.005371823253533137,0.0018690239262686426,0.007672000015183311,0.001288081033454791,0.005024418610784842,0.014840351341883773,0.0330671475991422,0.040368603349799415,0.00880683110260569,0.8550952207645635,1,0.5321511523040702,-0.06702728667951041,0.0953836407353956,14.65999984741211,0.005486963245862508,0,-0.01424775380979526,0
2018-12-21,50.660907515528145,45.06759108884965,0,0,66.23889202705323,56.480464793366934,9.758427233686291,0,0.465340724500549,0.04978304662175447,134.189453125,0.012478096812812676,2731659.0505609643,1,1.1213093328580763,64.50942524865195,85.54425338702056,0,-0.006841911961949054,-0.0007573401428327207,0.002718909654632464,-0.0011976456417185312,0,-35.490574751194515,32.13817329752825,-0.018052009440243655,-0.001422374664029169,0.005371823253533137,0.0018690239262686426,0.007672000015183311,0.001288081033454791,-0.004761504091224222,0.005638815712631695,0.02158785950079567,0.009883725421963778,0.9566798072925491,0,1.4177716323306033,-0.08386931890786013,0.07560976491215353,14.329999923706056,-0.022510226953672663,0,0.0016366927066469028,0
2018-12-24,46.62558944756972,38.186938941155596,0,0,49.689796939923326,55.12233122267821,-5.432534282754887,0,0.29059118025488606,0.04912265846439574,139.57868303571428,0.013089387446495165,2727775.586822607,0,0.642267774487537,50.614155566006986,69.99589163502175,0,-0.012196924056523199,-0.00834007723741164,-0.005496385420337564,-0.009508396112581027,0,-49.38584443383947,-43.214565492897925,-0.008415473312255894,-0.018052009440243655,-0.001422374664029169,0.005371823253533137,0.0018690239262686426,0.007672000015183311,-0.02065047665087849,0.016689768405034,0.003283630196607934,0.009886892473462035,0.9543730790394712,0,0.8411054472703359,-0.09157899220512913,0.06655799964113429,15.989999771118164,0.11584088319958585,0,-0.005453707491400284,0
2018-12-25,46.62558944756972,38.186938941155596,0,0,36.157716208526836,51.32940821984794,-15.171692011321106,0,0.2940323451730951,0.04945051084476199,140.40011160714286,0.013166419243881436,2724598.207400315,0,0.6222841225626741,50.614155566006986,55.24591212688864,0,-0.009781399843429987,-0.007587641262572335,-0.005281979395796572,-0.009414675937013816,0,-49.38584443383947,-45.40680359999477,0.0,-0.008415473312255894,-0.018052009440243655,-0.001422374664029169,0.005371823253533137,0.0018690239262686426,-0.02247748961126117,0.010839698472459247,-0.002068167457407899,0.009812241863439241,0.944684865376296,0,0.8361844537037467,-0.09157899220512913,0.06655799964113429,15.75,-0.015009366763823362,0,-0.0022760121644884723,0
2018-12-26,50.01119763730283,46.35922682303219,0,0,30.43645124138129,47.15081682415462,-16.714365582773326,0,0.4184715676600199,0.04944383929500115,141.70724051339286,0.013206824482382836,2769943.987872985,1,0.7513676772281741,60.80140104229178,54.00990405810192,0,-0.002898208659271714,-0.0012844644442831395,0.0008716679854960326,-0.00321888669378404,0,-39.19859895755469,-59.027552701143414,0.006222123071693231,0.0,-0.008415473312255894,-0.018052009440243655,-0.001422374664029169,0.005371823253533137,-0.021650743532242278,-0.000721762803786552,9.320663784184724e-05,0.009871992212229707,0.94844729403276,1,0.6661580150727167,-0.08592668489371845,0.07319425477799968,15.75,0.0,0,0.0014256982462399481,0
2018-12-27,52.456209186326745,51.93998170462322,0,0,29.591755508674396,43.63900456105857,-14.047249052384174,0,0.5198749239206333,0.04890348328707415,141.64655412946428,0.013139998580294356,2889972.3537142603,1,1.3446344339622642,68.47069866182743,59.96208509004206,0,0.001394358013333305,0.0030579845042580604,0.005312928063546541,0.001407221397770914,1,-31.52930133801904,16.948484328349043,0.004655255863871277,0.006222123071693231,0.0,-0.008415473312255894,-0.018052009440243655,-0.001422374664029169,-0.015696228673112933,-0.0010888148794806485,-0.00726609899949715,0.009527927730849641,0.9154289972241795,0,0.26898350031450297,-0.08167143973356207,0.07819024862562747,15.920000076293944,0.01079365563771062,0,0.0,0
2018-12-28,56.159335268701646,59.77045980609562,0,0,34.982519205883364,41.90770749002353,-6.9251882841401695,0,0.6744563477737914,0.04865794825807749,134.15011160714286,0.01235279392828851,3032813.743948031,1,0.746699920919764,80.76925383684888,70.01378451365603,0,0.0070558023369234136,0.009546628648723418,0.012275576669150858,0.008759483023036778,1,-19.23074616299759,57.666531145826774,0.007430619064249022,0.004655255863871277,0.006222123071693231,0.0,-0.008415473312255894,-0.018052009440243655,0.009847534928863588,0.005039141759787258,-0.0015491400809065636,0.00967726700328132,0.9310816973552679,1,0.29034784127705293,-0.07484769002640244,0.08620186964195183,16.06999969482422,0.009422086545944008,0,-0.0012812690863853726,0
2018-12-31,56.28063152585379,60.02181528238143,0,0,39.018740099498245,41.329914011918476,-2.31117391242023,0,0.6827903821850092,0.04832873380933483,122.5107421875,0.01127826747773546,3182574.8814120255,1,0.5700510493477028,72.79173845654229,74.01056365173953,0,0.005832671931599381,0.0088947364954919,0.012025549185433325,0.008915176369233165,1,-27.208261543235782,72.52810206322462,0.00024396301689710853,0.007430619064249022,0.004655255863871277,0.006222123071693231,0.0,-0.008415473312255894,0.01866646079500156,-0.0023694871686785746,-0.0019478759905823262,0.0096762093741551,0.9323327243080491,0,0.41343632174774725,-0.07462198707777189,0.08646686272702904,15.270000457763672,-0.04978215633185157,0,-0.0022808789540845753,0
2019-01-01,56.28063152585379,60.02181528238143,0,0,41.736363419573536,41.41120389344949,0.32515952612404675,1,0.683851083301524,0.04822701007006954,113.03215680803571,0.010405674435596023,3305106.7211552938,1,0.5830217867732371,72.79173845654229,75.45091024997782,0,0.004660700677674585,0.008079590829409154,0.011548512856225273,0.008825685235803378,1,-27.208261543235782,71.64587214986943,0.0,0.00024396301689710853,0.007430619064249022,0.004655255863871277,0.006222123071693231,0.0,0.01866646079500156,-0.004230603994858195,-0.0006394218052808709,0.00967168930873813,0.9329920737016713,0,0.4481060262397032,-0.07462198707777189,0.08646686272702904,16.0,0.04780612445006027,0,-0.000964384276012531,0
